layer,n,stat,p_value
0,6,6.0,0.4375
1,6,6.0,0.4375
2,6,4.0,0.21875
3,6,7.0,0.5625
4,6,6.0,0.4375
5,6,6.0,0.4375
6,6,6.0,0.4375
7,6,6.0,0.4375
8,6,5.0,0.3125
9,6,8.0,0.6875
10,6,5.0,0.3125
11,6,7.0,0.5625
12,6,4.0,0.21875
13,6,10.0,1.0
14,6,7.0,0.5625
15,6,6.0,0.4375
16,6,9.0,0.84375
17,6,8.0,0.6875
18,6,1.0,0.0625
19,6,8.0,0.6875
20,6,7.0,0.5625
21,6,8.0,0.6875
22,6,7.0,0.5625
23,6,9.0,0.84375
24,6,8.0,0.6875
25,6,9.0,0.84375
26,6,9.0,0.84375
27,6,3.0,0.15625
28,6,10.0,1.0
29,6,8.0,0.6875
30,6,5.0,0.3125
31,6,10.0,1.0
