layer,n,stat,p_value
0,6,6.0,0.4375
1,6,6.0,0.4375
2,6,10.0,1.0
3,6,7.0,0.5625
4,6,6.0,0.4375
5,6,6.0,0.4375
6,6,9.0,0.84375
7,6,8.0,0.6875
8,6,8.0,0.6875
9,6,10.0,1.0
10,6,6.0,0.4375
11,6,6.0,0.4375
12,6,7.0,0.5625
13,6,3.0,0.15625
14,6,3.0,0.15625
15,6,3.0,0.15625
16,6,6.0,0.4375
17,6,5.0,0.3125
18,6,4.0,0.21875
19,6,5.0,0.3125
20,6,4.0,0.21875
21,6,3.0,0.15625
22,6,1.0,0.0625
23,6,3.0,0.15625
24,6,1.0,0.0625
25,6,6.0,0.4375
26,6,5.0,0.3125
27,6,3.0,0.15625
28,6,6.0,0.4375
29,6,10.0,1.0
30,6,3.0,0.15625
31,6,10.0,1.0
