layer,n,stat,p_value
0,5,0.0,0.0625
1,5,0.0,0.0625
2,5,3.0,0.3125
3,5,2.0,0.1875
4,5,0.0,0.0625
5,5,0.0,0.0625
6,5,5.0,0.625
7,5,0.0,0.0625
8,5,7.0,1.0
9,5,0.0,0.0625
10,5,5.0,0.625
11,5,4.0,0.4375
12,5,6.0,0.8125
13,5,6.0,0.8125
14,5,6.0,0.8125
15,5,3.0,0.3125
16,5,0.0,0.0625
17,5,1.0,0.125
18,5,0.0,0.0625
19,5,1.0,0.125
20,5,0.0,0.0625
21,5,0.0,0.0625
22,5,0.0,0.0625
23,5,0.0,0.0625
24,5,1.0,0.125
25,5,2.0,0.1875
26,5,0.0,0.0625
27,5,3.0,0.3125
28,5,2.0,0.1875
29,5,1.0,0.125
30,5,2.0,0.1875
31,5,6.0,0.8125
