layer,n,stat,p_value
0,6,6.0,0.4375
1,6,8.0,0.6875
2,6,4.0,0.21875
3,6,7.0,0.5625
4,6,6.0,0.4375
5,6,6.0,0.4375
6,6,6.0,0.4375
7,6,4.0,0.21875
8,6,6.0,0.4375
9,6,6.0,0.4375
10,6,6.0,0.4375
11,6,8.0,0.6875
12,6,5.0,0.3125
13,6,10.0,1.0
14,6,7.0,0.5625
15,6,10.0,1.0
16,6,6.0,0.4375
17,6,8.0,0.6875
18,6,0.0,0.03125
19,6,8.0,0.6875
20,6,10.0,1.0
21,6,4.0,0.21875
22,6,9.0,0.84375
23,6,10.0,1.0
24,6,9.0,0.84375
25,6,8.0,0.6875
26,6,6.0,0.4375
27,6,4.0,0.21875
28,6,6.0,0.4375
29,6,6.0,0.4375
30,6,4.0,0.21875
31,6,7.0,0.5625
