layer,n,stat,p_value
0,6,6.0,0.4375
1,6,6.0,0.4375
2,6,9.0,0.84375
3,6,7.0,0.5625
4,6,7.0,0.5625
5,6,6.0,0.4375
6,6,5.0,0.3125
7,6,5.0,0.3125
8,6,5.0,0.3125
9,6,6.0,0.4375
10,6,6.0,0.4375
11,6,7.0,0.5625
12,6,5.0,0.3125
13,6,7.0,0.5625
14,6,7.0,0.5625
15,6,6.0,0.4375
16,6,6.0,0.4375
17,6,8.0,0.6875
18,6,5.0,0.3125
19,6,9.0,0.84375
20,6,8.0,0.6875
21,6,6.0,0.4375
22,6,10.0,1.0
23,6,6.0,0.4375
24,6,9.0,0.84375
25,6,6.0,0.4375
26,6,10.0,1.0
27,6,6.0,0.4375
28,6,6.0,0.4375
29,6,6.0,0.4375
30,6,6.0,0.4375
31,6,5.0,0.3125
