layer,n,stat,p_value
0,6,6.0,0.4375
1,6,0.0,0.03125
2,6,6.0,0.4375
3,6,0.0,0.03125
4,6,2.0,0.09375
5,6,7.0,0.5625
6,6,7.0,0.5625
7,6,1.0,0.0625
8,6,3.0,0.15625
9,6,6.0,0.4375
10,6,0.0,0.03125
11,6,2.0,0.09375
12,6,6.0,0.4375
13,6,0.0,0.03125
14,6,0.0,0.03125
15,6,6.0,0.4375
16,6,1.0,0.0625
17,6,0.0,0.03125
18,6,0.0,0.03125
19,6,9.0,0.84375
20,6,0.0,0.03125
21,6,3.0,0.15625
22,6,0.0,0.03125
23,6,0.0,0.03125
24,6,0.0,0.03125
25,6,3.0,0.15625
26,6,6.0,0.4375
27,6,3.0,0.15625
28,6,0.0,0.03125
29,6,2.0,0.09375
30,6,9.0,0.84375
31,6,4.0,0.21875
