layer,n,stat,p_value
0,6,6.0,0.4375
1,6,6.0,0.4375
2,6,7.0,0.5625
3,6,6.0,0.4375
4,6,6.0,0.4375
5,6,6.0,0.4375
6,6,6.0,0.4375
7,6,5.0,0.3125
8,6,6.0,0.4375
9,6,6.0,0.4375
10,6,6.0,0.4375
11,6,6.0,0.4375
12,6,5.0,0.3125
13,6,10.0,1.0
14,6,9.0,0.84375
15,6,9.0,0.84375
16,6,5.0,0.3125
17,6,8.0,0.6875
18,6,4.0,0.21875
19,6,9.0,0.84375
20,6,4.0,0.21875
21,6,10.0,1.0
22,6,7.0,0.5625
23,6,6.0,0.4375
24,6,7.0,0.5625
25,6,10.0,1.0
26,6,6.0,0.4375
27,6,1.0,0.0625
28,6,8.0,0.6875
29,6,7.0,0.5625
30,6,1.0,0.0625
31,6,6.0,0.4375
